AREA,PERIMETER,Ing_Eg,Rd_Maint,Rd_Width,Rd_Cond,Fire_Acc,St_Sign,Strc_Den,Hm_Set,Un_Lands,Priv_Act,Prox_Wild,SUBD_TOT,Prox_Flam,Veg_Type,Fuel_Load,Fuel_Strc,Def_Space,VEG_TOT,Roof_Asmb,Sid_Sof,Undr_Skrt,Utlty_Plmt,Strc_Ign,BLDG_TOT,Slope,Avg_Rain,Prev_Wind,Seas_Haz,Ign_Risk,Top_Adv,FIREHAZTOT,Wat_Avail,Ofst_Wat,Rspn_Time,Prox_Stn,FD_Trng,Wild_Cap,Loc_Ops,Com_Plan,Com_FirPrg,FIREPROTOT,OVRLHAZTOT,Acres,AreaName,Island,IntAgCoop,CAR_Rating,zone,CAR_Hawaii,CAR_adjtot
401.989,5.279,2,1,2,1,2,1,2,1,2,1,1,16,2,1,1,1,1,6,2,2,2,1,1,8,1,6,4,3,2,1,17,1,0,1,1,2,2,2,1,2,12,0,401.98943098100,Spreckelsville,Maui,1,Low,,14.00000000000,56
334.851,7.064,2,2,2,2,3,1,3,2,1,2,2,22,3,2,1,1,2,9,1,3,2,3,2,11,2,3,4,2,2,1,14,1,0,1,1,1,2,2,2,2,12,0,334.85059786000,Paia,Maui,1,High,,30.00000000000,62
64.237,1.891,2,2,2,2,2,1,2,2,1,2,2,20,2,2,1,1,2,8,1,2,2,2,2,9,2,4,3,2,2,1,14,1,0,1,1,2,2,2,1,2,12,0,64.23719547660,Kuau,Maui,1,Low,,12.00000000000,57
97.948,2.107,2,2,2,2,3,1,3,2,1,2,2,22,3,2,1,1,2,9,1,3,2,3,2,11,2,3,3,2,2,3,15,1,0,1,1,2,2,2,1,2,12,0,97.94848196350,Hailimaile,Maui,1,High,,30.00000000000,
10756.153,23.733,2,2,3,2,3,1,1,1,2,2,3,22,2,2,2,2,2,10,1,2,2,3,2,10,3,1,3,1,2,2,12,1,0,2,2,2,2,2,1,2,14,0,10756.15311420000,Haiku,Maui,1,Low,,15.00000000000,60
1246.756,7.671,1,2,2,1,2,1,1,2,2,2,2,18,3,3,2,1,2,11,1,2,2,3,2,10,2,3,3,2,2,3,15,1,0,1,1,2,2,2,1,2,12,0,1246.75565197000,Makawao,Maui,1,Very High,,32.00000000000,62
3082.464,14.079,3,3,3,2,3,1,1,1,1,2,3,23,1,2,2,1,2,8,1,2,2,3,2,10,3,1,3,1,1,3,12,3,0,3,3,2,2,2,1,2,18,0,3082.46360011000,Huelo,Maui,1,Low,,7.00000000000,58
1146.891,6.686,3,3,3,1,3,2,1,1,1,2,2,22,1,2,2,1,2,8,1,2,2,3,2,10,3,1,3,1,1,3,12,3,0,3,3,2,2,2,1,2,18,0,1146.89070273000,Kailua,Maui,1,Low,,7.00000000000,58
745.582,11.016,3,2,2,1,3,2,1,1,1,2,1,19,1,1,2,1,1,6,1,2,2,3,2,10,2,1,3,1,1,3,11,2,0,3,3,2,2,2,1,2,17,0,745.58185638900,Keanae,Maui,1,Low,,4.00000000000,54
620.184,5.035,3,2,3,1,3,2,1,1,1,1,2,20,1,1,2,1,1,6,1,2,2,3,2,10,2,1,3,1,1,3,11,2,0,3,3,2,2,2,1,2,17,0,620.18396663000,Wailua,Maui,1,Low,,4.00000000000,55
779.625,7.238,3,2,3,1,3,3,1,1,1,2,2,22,1,2,2,2,2,9,1,2,2,3,3,11,2,1,3,1,1,3,11,2,0,3,3,2,2,2,1,2,17,0,779.62481084500,Nahiku,Maui,1,Low,,12.00000000000,61
1365.031,7.566,2,2,2,1,3,2,1,1,2,2,2,20,1,2,2,1,2,8,1,2,2,3,2,10,1,1,3,1,1,1,8,3,0,2,1,2,2,2,1,2,15,0,1365.03052774000,Kaeleku,Maui,1,Low,,1.00000000000,52
4496.307,15.562,2,2,2,1,2,1,2,1,1,2,2,18,1,2,1,1,2,7,1,2,3,3,2,11,2,1,3,2,1,3,12,2,0,1,1,2,2,2,1,2,13,0,4496.30742656000,Hana,Maui,1,Low,,7.00000000000,55
1449.258,8.075,2,2,3,1,2,1,1,2,2,2,3,21,1,2,2,1,2,8,1,2,3,3,2,11,1,1,3,1,1,1,8,2,0,1,1,2,2,2,1,2,13,0,1449.25847157000,Hamoa,Maui,1,Low,,1.00000000000,52
1023.663,6.675,3,3,3,1,3,2,1,1,2,2,2,23,1,2,2,2,2,9,1,2,3,3,2,11,1,2,3,1,1,1,9,3,0,2,2,2,2,2,1,2,16,0,1023.66253619000,Makaalae,Maui,1,Low,,9.00000000000,58
548.606,4.644,3,2,3,1,3,2,1,1,2,2,2,22,1,2,2,2,2,9,1,2,3,3,2,11,2,2,3,1,1,3,12,3,0,2,2,2,2,2,1,2,16,0,548.60567133500,Koali,Maui,1,Moderate,,23.00000000000,61
2926.994,11.616,3,2,3,1,3,3,1,1,2,2,2,23,2,2,2,2,2,10,1,2,3,3,2,11,3,3,4,2,1,3,16,3,0,3,3,2,2,2,1,2,18,0,2926.99410162000,Kipahulu,Maui,1,Extreme,,40.00000000000,67
9703.898,17.356,2,3,3,2,3,3,1,1,3,2,3,26,3,2,1,2,2,10,1,2,3,3,2,11,3,4,4,3,3,3,20,3,0,3,3,2,2,2,1,2,18,0,9703.89819830000,Kahikinui,Maui,1,Extreme,,40.00000000000,72
1517.531,11.055,3,2,2,1,3,1,1,1,3,2,3,22,3,2,3,2,1,11,1,2,2,3,1,9,3,2,2,2,2,1,14,2,0,2,2,2,2,2,1,2,15,0,1517.53113025000,Piiholo,Maui,1,Very High,,36.00000000000,
